uid,iid
0,527
0,1624
1,1320
1,1150
1,1132
1,1804
1,1048
1,2606
2,1930
2,2655
4,1011
4,3124
4,1370
4,2039
4,2294
4,1867
4,566
4,2765
4,1558
4,2109
4,801
4,572
4,2171
4,2167
4,2848
4,2617
4,3121
4,2379
4,994
5,462
5,1042
5,2453
5,1556
5,2075
6,1827
7,2039
7,2154
7,3119
7,1177
7,1089
7,882
7,839
7,1379
7,517
7,736
7,222
7,676
8,1827
8,1867
8,1560
8,1619
9,2654
9,253
9,748
9,2242
9,595
9,759
9,1529
9,889
9,1423
9,1135
9,1871
9,1235
9,1055
9,1137
9,908
9,558
9,2199
9,15
9,1140
9,1554
9,729
9,803
9,811
9,3062
9,1889
9,1202
9,246
9,3186
10,880
10,432
10,1006
10,1730
11,1191
11,726
12,1083
12,2318
14,386
14,1917
14,1732
14,1930
14,1603
14,1177
14,1613
15,1439
15,2611
16,941
16,1572
16,2992
16,2341
16,2286
16,1023
16,1394
16,1964
16,1261
16,2774
16,2136
16,616
16,1399
16,991
17,372
17,695
17,2186
17,1042
17,1927
17,1221
17,1690
17,1184
17,1424
17,1364
17,1002
17,1816
17,1692
17,604
17,1400
17,2871
17,15
17,657
17,1701
17,671
18,1154
18,2323
18,2654
18,1581
18,1509
18,745
18,2611
18,1972
18,762
18,1515
18,1221
18,1008
18,913
18,790
18,2108
18,210
18,2541
18,2897
21,2369
21,2091
21,2053
21,2392
21,1917
21,844
21,1578
21,1694
21,808
21,1966
21,1555
22,2414
22,1588
22,1961
22,423
22,1061
22,2362
22,1781
22,1244
22,1646
22,2819
22,1197
22,1563
22,525
22,2838
22,2319
22,246
23,871
23,2175
24,2042
24,1389
24,1553
24,1258
24,929
25,2038
25,2091
25,289
25,2049
25,2243
25,261
25,424
25,1732
25,2891
25,603
25,2874
25,1461
25,558
25,2103
25,2713
25,2645
25,1286
25,1378
25,496
25,2131
25,2831
25,2157
25,2234
25,508
25,1264
25,664
25,2542
25,669
25,1889
25,2041
25,1202
25,819
26,1727
27,305
27,839
27,1709
27,566
27,485
27,1615
28,745
28,2158
28,1766
28,1435
29,1899
29,17
30,595
30,3282
30,2027
30,1452
30,1786
30,493
30,518
31,1362
31,994
32,2919
32,162
32,943
32,825
32,827
32,837
32,1586
32,1887
32,2707
32,841
32,1424
32,2397
32,1186
32,1320
32,1646
32,1930
32,1602
32,1194
32,2714
32,1809
32,729
32,2453
32,319
32,2221
32,984
32,1168
32,737
32,1978
32,1556
33,626
33,1036
33,1352
33,1072
33,1757
33,1078
33,1994
33,1114
34,253
34,1623
34,2748
34,1220
34,1221
34,1132
34,1373
34,962
34,1871
34,646
34,462
34,1720
34,1543
34,2402
34,177
34,502
34,2269
35,162
35,1870
35,1225
35,1532
35,2411
35,1071
35,1754
35,2283
35,2089
35,1287
35,1326
35,1166
35,1329
35,985
35,1976
36,1036
36,2075
36,1075
36,1199
37,626
37,166
37,551
37,1042
37,2817
37,1057
37,1286
37,517
38,229
38,1062
38,1922
39,1529
39,2247
39,1532
39,1250
39,609
39,1932
39,3178
39,1976
39,1436
40,913
40,1526
41,745
41,760
41,2216
41,3123
41,2475
41,1686
41,1662
41,1435
42,424
43,1155
43,877
43,401
43,2027
43,1927
43,1455
43,1504
43,1505
43,798
43,1208
43,264
43,2059
43,2715
44,372
44,2236
44,1843
44,2185
44,395
44,2399
44,2826
44,1746
44,1038
44,2243
44,1870
44,1371
44,3092
44,1365
44,2483
44,962
44,1135
44,2943
44,2527
44,1709
44,1318
44,2313
44,2103
44,1757
44,15
44,467
44,256
44,1088
44,1760
44,1786
44,2256
44,3371
44,803
44,1415
44,1112
44,1872
45,188
45,2752
45,1427
45,3382
47,1026
47,378
47,884
47,1927
47,1143
47,2674
47,1824
47,127
47,911
47,1467
47,2188
47,2089
47,1687
47,1576
47,1959
47,2063
47,1036
47,1831
47,1020
47,1772
47,1365
47,895
47,1987
47,1635
47,432
47,2570
47,777
47,1055
47,1393
47,2280
47,2252
47,2010
47,339
47,1013
47,1905
47,927
47,861
47,493
47,1415
47,2952
47,2719
47,1949
48,310
48,780
48,588
48,1735
49,1573
49,2356
49,1537
49,2075
50,1736
50,1174
50,1994
51,945
51,127
51,1208
51,367
52,1739
52,1893
52,162
52,394
52,2682
52,2946
52,1143
52,423
52,2801
52,433
52,2536
52,1238
52,1519
52,1910
52,2332
52,1759
52,300
52,568
52,1712
52,489
52,517
52,1264
52,1267
52,1486
52,676
52,2825
52,2091
52,289
52,942
52,296
52,944
52,835
52,1020
52,2197
52,1875
52,261
52,1961
52,769
52,1532
52,1776
52,2507
52,2218
52,1692
52,717
52,2075
52,2313
52,1720
52,2200
52,1073
52,2519
52,2145
52,2253
52,2337
52,3119
52,172
52,2753
52,1700
52,2290
52,1118
52,2097
52,1274
52,1790
53,1447
54,887
56,161
56,1513
56,1362
56,1653
57,147
57,1363
57,695
57,752
57,2054
57,1045
57,1137
57,1283
57,2266
57,1524
57,1267
57,406
57,1961
57,112
57,711
57,2469
57,1140
57,1553
57,2529
58,378
58,1929
58,2170
58,1138
58,8
58,467
58,2226
58,1888
58,527
58,757
58,100
58,273
58,160
58,2329
58,508
58,1329
58,589
59,766
59,546
59,750
59,699
60,1925
60,762
60,1935
61,183
61,1185
61,962
61,2938
61,1189
61,2170
61,460
61,654
61,2305
61,484
61,2016
61,1431
61,1968
61,1291
61,1267
61,253
61,1212
61,1298
61,749
61,2470
61,681
61,2862
61,2243
61,100
61,1875
61,1453
61,1985
61,3048
61,2019
61,603
61,439
61,2298
61,1918
61,1646
61,1989
61,2592
61,1545
61,2447
61,1092
61,2869
61,2773
61,575
61,1329
61,1272
61,2023
62,1676
62,2538
62,2041
62,678
62,202
62,1639
62,559
64,1823
64,458
64,1076
64,809
64,677
64,1072
64,1105
65,528
66,595
66,1197
66,474
67,3291
67,1145
67,2472
67,1204
68,2931
68,371
68,1259
69,686
69,1140
71,2480
72,880
72,971
72,803
72,501
72,528
72,2368
72,2372
72,1404
72,1961
72,1055
72,859
72,925
72,1553
73,1306
73,406
74,1507
74,2229
74,884
74,1927
74,419
74,2537
74,2090
74,1884
74,2037
74,2041
74,3122
74,1938
74,684
74,1020
74,2247
74,1372
74,1536
74,1945
74,1286
74,1106
74,1953
75,2851
76,873
76,292
