uid,iid
0,847
0,42
0,405
0,323
0,780
1,1530
1,1141
1,466
1,1162
1,2818
1,396
1,181
1,1272
1,610
1,406
1,2259
2,1941
3,804
4,912
4,1795
4,2865
4,1205
4,1797
4,1300
4,1340
4,350
4,1628
4,890
4,2220
4,1000
4,1815
4,812
4,1597
4,1794
4,329
4,2544
4,1331
4,986
4,987
4,967
4,1692
4,335
4,1462
5,652
5,1296
5,658
5,1875
5,2217
5,1941
5,1328
5,325
5,2
5,1292
7,912
7,1705
7,1624
7,759
7,568
7,2243
7,1259
7,1102
7,513
7,1047
7,1615
7,588
7,1291
7,1237
8,652
8,405
8,1699
8,2571
8,602
8,1572
9,876
9,48
9,1510
9,289
9,998
9,831
9,700
9,2392
9,884
9,1042
9,1220
9,1451
9,205
9,1309
9,47
9,1454
9,843
9,1046
9,1458
9,1048
9,1366
9,556
9,962
9,643
9,231
9,21
9,1022
9,1521
9,1879
9,564
9,1411
9,1177
9,2629
9,1551
9,2788
9,19
9,1947
9,111
9,1415
9,1616
9,1555
9,1437
10,2323
10,2623
10,2124
10,233
10,2694
10,1731
10,1082
10,79
10,30
10,111
10,1358
10,1120
10,936
12,198
12,413
12,843
12,788
12,1250
12,735
13,643
13,2528
14,44
14,1017
14,1420
14,304
14,348
14,1035
14,759
14,701
14,1221
14,894
14,905
14,43
14,1756
14,291
14,468
14,1083
14,95
14,1103
14,111
14,580
15,1420
15,948
15,325
15,2285
15,864
15,2041
16,12
16,2665
16,952
16,2835
16,1405
16,2390
16,958
16,2251
16,234
16,371
16,970
16,1244
16,1602
16,566
16,1894
16,1994
16,926
16,187
16,1992
16,317
16,862
16,981
16,212
16,227
16,2009
17,1154
17,1843
17,382
17,1019
17,883
17,2229
17,1831
17,1277
17,1681
17,702
17,1515
17,419
17,1955
17,1533
17,127
17,1148
17,331
17,442
17,1461
17,848
17,454
17,464
17,1805
17,478
17,30
17,1656
17,1106
17,1385
17,70
17,80
17,2514
17,1580
17,591
17,338
18,629
18,121
18,393
18,752
18,1527
18,1218
18,768
18,412
18,415
18,1407
18,783
18,1998
18,911
18,916
18,2005
18,2200
18,1176
18,193
18,1165
18,1796
18,1384
18,1566
18,737
18,542
19,652
20,612
20,674
21,2045
21,394
21,91
21,683
21,703
21,1530
21,1159
21,2626
21,2104
21,2188
21,2200
21,1645
21,466
21,655
21,294
21,1553
21,1656
21,1522
21,800
21,1421
21,499
21,1699
21,1482
21,815
21,591
22,12
22,55
22,1212
22,1386
22,1625
22,682
22,350
22,700
22,407
22,769
22,2189
22,714
22,1233
22,442
22,1005
22,1692
22,779
22,454
22,2020
22,1076
22,723
22,1652
22,1429
22,731
22,735
22,212
22,736
22,1580
22,2775
23,618
23,1034
23,195
23,556
23,276
23,473
23,480
23,2256
23,514
23,539
24,564
25,2116
25,2236
25,2547
25,746
25,2060
25,870
25,1445
25,879
25,393
25,2399
25,1528
25,698
25,1831
25,1845
25,407
25,636
25,1365
25,896
25,1594
25,1002
25,1187
25,1366
25,2588
25,1236
25,228
25,2827
25,1367
25,2362
25,2010
25,1462
25,2577
25,1409
25,1281
25,14
25,1757
25,15
25,469
25,1548
25,180
25,571
25,1906
25,2316
25,803
25,805
25,1480
25,2847
25,514
25,1884
25,70
25,1487
25,337
26,378
26,1769
26,1213
26,348
26,1185
26,1239
26,1197
26,1891
26,1760
26,2928
26,494
26,1263
27,1155
27,1441
27,1705
27,997
27,495
27,1702
27,73
27,527
28,781
28,245
28,1409
28,496
28,731
29,1379
29,2318
29,1328
29,2433
30,55
30,1212
30,681
30,258
30,1368
30,470
30,1283
30,1760
30,3215
30,1091
30,1990
30,476
30,2523
30,1947
30,1260
30,265
30,1270
30,3450
31,267
31,964
31,2300
32,1155
32,692
32,942
32,1769
32,1980
32,1814
32,1680
32,882
32,1972
32,1671
32,2481
32,415
32,1530
32,712
32,842
32,1314
32,1135
32,1393
32,2811
32,2212
32,783
32,1973
32,1074
32,1469
32,654
32,1543
32,62
32,480
32,2608
32,2107
32,1796
32,502
32,804
32,1357
32,2926
32,524
33,2236
33,1299
33,390
33,619
33,999
33,2392
33,405
33,258
33,841
33,1186
33,1091
33,925
33,1835
33,1796
33,864
33,2791
33,2112
33,1555
33,1436
34,374
34,1706
34,398
34,406
34,2166
34,412
34,777
34,2349
34,1236
